Mã TBMT,Gói thầu,Mã CĐT,Chủ đầu tư,Ngày đăng tải,Đóng thầu,Đường dẫn
IB2600116479-00,"Thuê ngoài Đối tác phối hợp bổ sung, hoàn thiện các tính  năng trên ứng dụng VNPT Money phiên bản Android và hoàn thiện hệ thống công cụ báo cáo cho VNPT Money",vnz000043489,TỔNG CÔNG TY TRUYỀN THÔNG - CHI NHÁNH TẬP ĐOÀN BƯU CHÍNH VIỄN THÔNG VIỆT NAM,08:52 26/03/2026,09:00 06/04/2026,https://dauthau.asia/thongbao/moithau/thue-ngoai-doi-tac-phoi-hop-bo-sung-hoan-thien-cac-tinh-nang-tren-ung-dung-vnpt-money-phien-ban-android-va-1732110.html
IB2600111517-00,"Mua sắm giấy in, mực in  tại Bệnh viện Đa khoa Khánh Hội.",vn0301638935,Bệnh viện Đa khoa Khánh Hội,08:49 26/03/2026,09:00 02/04/2026,https://dauthau.asia/thongbao/moithau/mua-sam-giay-in-muc-in-tai-benh-vien-da-khoa-khanh-hoi-1732108.html
IB2600116585-00,Mua sắm bổ sung khí sử dụng máy phát tia Plasma năm 2026,vn0301368580,Bệnh viện Từ Dũ,08:49 26/03/2026,08:00 02/04/2026,https://dauthau.asia/thongbao/moithau/mua-sam-bo-sung-khi-su-dung-may-phat-tia-plasma-nam-2026-1732109.html
IB2600101618-00,31HH-SXKD-2026: Cung cấp vật tư hệ thống APH cho Nhà máy Nhiệt điện Duyên Hải 3 Mở rộng,vnz000017073,CÔNG TY NHIỆT ĐIỆN DUYÊN HẢI - CHI NHÁNH TỔNG CÔNG TY PHÁT ĐIỆN 1,08:46 26/03/2026,14:00 15/04/2026,https://dauthau.asia/thongbao/moithau/31hh-sxkd-2026-cung-cap-vat-tu-he-thong-aph-cho-nha-may-nhiet-dien-duyen-hai-3-mo-rong-1732106.html
IB2600112277-00,"Gói thầu GSXD05/2026: Giám sát thi công sửa chữa và lắp đặt VTTB công trình, Công trình: (i) Sửa chữa phần xây dựng tại TBA 110kV Công ty Điện lực Lâm Đồng cơ sở 3 năm 2026; (ii) Sửa chữa nhà nghỉ ca, nhà kho, nhà trung tâm thí nghiệm điện Công ty Điện lực Lâm Đồng cơ sở 3 năm 2026",vnz000022091,CÔNG TY ĐIỆN LỰC LÂM ĐỒNG,08:45 26/03/2026,09:00 13/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-gsxd05-2026-giam-sat-thi-cong-sua-chua-va-lap-dat-vttb-cong-trinh-cong-trinh-i-sua-chua-phan-xay-dung-1732107.html
IB2600111779-00,"Gói thầu số 01: Nâng cấp, cải tạo",vn1702325667,Phòng Kinh tế xã Kiên Lương,08:43 26/03/2026,09:00 06/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-01-nang-cap-cai-tao-1732105.html
IB2600112155-00,Gói số 1: Gói thầu thuốc generic,vn0103263057,Bệnh viện đa khoa Thạch Thất,08:37 26/03/2026,09:00 07/04/2026,https://dauthau.asia/thongbao/moithau/goi-so-1-goi-thau-thuoc-generic-1732104.html
IB2600113894-00,"Gói thầu 10.TH.26: Sửa chữa mặt bằng phía trước nhà điều khiển, mặt bằng khu vực máy biến áp AT2 trạm biến áp 220kV Ba Chè",vnz000021782,CÔNG TY TRUYỀN TẢI ĐIỆN 1 - CHI NHÁNH TỔNG CÔNG TY TRUYỀN TẢI ĐIỆN QUỐC GIA,08:32 26/03/2026,15:00 04/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-10-th-26-sua-chua-mat-bang-phia-truoc-nha-dieu-khien-mat-bang-khu-vuc-may-bien-ap-at2-tram-bien-ap-1732103.html
IB2600111802-00,"Bảo dưỡng, sửa chữa và thay thế thiết bị hư hỏng tại trạm xử lý nước thải thuộc Bệnh viện ĐKKV Bồng Sơn",vn4100487521,Bệnh Viện Đa Khoa Khu Vực Bồng Sơn,08:29 26/03/2026,10:00 03/04/2026,https://dauthau.asia/thongbao/moithau/bao-duong-sua-chua-va-thay-the-thiet-bi-hu-hong-tai-tram-xu-ly-nuoc-thai-thuoc-benh-vien-dkkv-bong-son-1732102.html
IB2600116474-00,"Cung cấp phụ tùng để thay thế, dự phòng cho các thiết bị thổi muội than và các thiết bị quan trọng khác theo Đơn hàng số 030/1100003892/ĐH-KHSX ngày 11/12/2025.",vn4300378569,CÔNG TY CỔ PHẦN LỌC HÓA DẦU BÌNH SƠN,08:24 26/03/2026,10:00 10/04/2026,https://dauthau.asia/thongbao/moithau/cung-cap-phu-tung-de-thay-the-du-phong-cho-cac-thiet-bi-thoi-muoi-than-va-cac-thiet-bi-quan-trong-khac-theo-1732101.html
IB2600112123-00,"Bảo dưỡng, sơn tường mặt trước khu khám kỹ thuật nghiệp vụ 5 tầng thuộc Bệnh viện ĐKKV Bồng Sơn",vn4100487521,Bệnh Viện Đa Khoa Khu Vực Bồng Sơn,08:15 26/03/2026,10:00 03/04/2026,https://dauthau.asia/thongbao/moithau/bao-duong-son-tuong-mat-truoc-khu-kham-ky-thuat-nghiep-vu-5-tang-thuoc-benh-vien-dkkv-bong-son-1732099.html
IB2600115201-00,"Dịch vụ dàn dựng gian hàng, trang trí tổng thể và cung cấp các dịch vụ hạ tầng, an ninh, y tế, vệ sinh, môi trường, kỹ thuật phục vụ tổ chức Hội chợ Hùng Vương năm 2026",vn2600297437,Trung tâm Khuyến công và Phát triển Công thương,08:14 26/03/2026,08:30 04/04/2026,https://dauthau.asia/thongbao/moithau/dich-vu-dan-dung-gian-hang-trang-tri-tong-the-va-cung-cap-cac-dich-vu-ha-tang-an-ninh-y-te-ve-sinh-moi-truong-1732100.html
IB2600116449-00,Dịch vụ sửa chữa máy thở,vnz000007757,Bệnh viện đa khoa Ninh Thuận,08:13 26/03/2026,10:00 02/04/2026,https://dauthau.asia/thongbao/moithau/dich-vu-sua-chua-may-tho-1732097.html
IB2600086834-00,Xây dựng công trình,vn2401036039,Ủy ban nhân dân phường Yên Dũng,08:11 26/03/2026,09:00 06/04/2026,https://dauthau.asia/thongbao/moithau/xay-dung-cong-trinh-1732098.html
IB2600091206-00,"03PTV-SXKD.UB-2026: Kiểm định, hiệu chuẩn các thiết bị mẫu, chuẩn đo lường, phương tiện đo, cân chỉ thị và thiết bị dụng cụ y tế",vnz000005052,CÔNG TY NHIỆT ĐIỆN UÔNG BÍ-CHI NHÁNH TỔNG CÔNG TY PHÁT ĐIỆN 1,08:08 26/03/2026,09:00 06/04/2026,https://dauthau.asia/thongbao/moithau/03ptv-sxkd-ub-2026-kiem-dinh-hieu-chuan-cac-thiet-bi-mau-chuan-do-luong-phuong-tien-do-can-chi-thi-va-thiet-bi-1732095.html
IB2600116426-00,VT-751/26-KT-TTH-Vật tư tiêu hao cho công tác bơm trộn và vận chuyển hóa phẩm trước khi chuyển ra giàn,vn3500102414,Liên doanh Việt-Nga Vietsovpetro,08:07 26/03/2026,09:00 06/04/2026,https://dauthau.asia/thongbao/moithau/vt-751-26-kt-tth-vat-tu-tieu-hao-cho-cong-tac-bom-tron-va-van-chuyen-hoa-pham-truoc-khi-chuyen-ra-gian-1732096.html
IB2600116425-00,Dịch vụ sửa chữa đầu camera dùng trong phẫu thuật nội soi,vnz000007757,Bệnh viện đa khoa Ninh Thuận,08:06 26/03/2026,10:00 02/04/2026,https://dauthau.asia/thongbao/moithau/dich-vu-sua-chua-dau-camera-dung-trong-phau-thuat-noi-soi-1732094.html
IB2600116413-00,Mua vật tư để bảo dưỡng thiết bị trao đổi nhiệt E-3301G theo Đơn hàng số 0049/1100004098/ĐH-KHSX,vn4300378569,CÔNG TY CỔ PHẦN LỌC HÓA DẦU BÌNH SƠN,07:57 26/03/2026,10:00 10/04/2026,https://dauthau.asia/thongbao/moithau/mua-vat-tu-de-bao-duong-thiet-bi-trao-doi-nhiet-e-3301g-theo-don-hang-so-0049-1100004098-dh-khsx-1732093.html
IB2600110287-00,Gói thầu số 50.2026 - Mua sắm vật liệu điện,vn6200601069,Công ty Cổ phần Điện lực Khánh Hòa,07:54 26/03/2026,09:00 06/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-50-2026-mua-sam-vat-lieu-dien-1732092.html
IB2600116374-00,Gói thầu số 07: Thi công xây dựng công trình,vn4500682460,Ban Quản lý dự án phường Bảo An,07:52 26/03/2026,09:00 06/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-07-thi-cong-xay-dung-cong-trinh-1732091.html
IB2600109502-00,Mua sắm vật tư phục vụ tháo ống lót van đĩa tổ máy H1 NMTĐ Huội Quảng,vnz000015842,CÔNG TY THỦY ĐIỆN HUỘI QUẢNG - BẢN CHÁT - CHI NHÁNH TẬP ĐOÀN ĐIỆN LỰC VIỆT NAM,07:35 26/03/2026,10:00 02/04/2026,https://dauthau.asia/thongbao/moithau/mua-sam-vat-tu-phuc-vu-thao-ong-lot-van-dia-to-may-h1-nmtd-huoi-quang-1732090.html
IB2600116368-00,"Gói thầu số 03: Mua sắm máy móc, thiết bị y tế cho khoa Nội soi",vn3600375447,Bệnh viện đa khoa Thống Nhất tỉnh Đồng Nai,00:17 26/03/2026,09:00 02/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-03-mua-sam-may-moc-thiet-bi-y-te-cho-khoa-noi-soi-1732088.html
IB2600116364-00,"Mua sắm linh kiện sửa chữa, thay thế cho Máy thận nhân tạo HDF Online DBB-07",vn3600375447,Bệnh viện đa khoa Thống Nhất tỉnh Đồng Nai,00:17 26/03/2026,09:00 02/04/2026,https://dauthau.asia/thongbao/moithau/mua-sam-linh-kien-sua-chua-thay-the-cho-may-than-nhan-tao-hdf-online-dbb-07-1732089.html
IB2600116290-00,Gói thầu số 06: Thi công xây dựng công trình,vnz000044363,Trung tâm cung ứng dịch vụ phường Cao Xanh,22:47 25/03/2026,09:00 03/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-06-thi-cong-xay-dung-cong-trinh-1732087.html
IB2600116282-00,Cung cấp thuốc Generic bổ sung Quý I năm 2026,vn0102329107,Bệnh viện Đại học Y Dược,21:45 25/03/2026,14:00 01/04/2026,https://dauthau.asia/thongbao/moithau/cung-cap-thuoc-generic-bo-sung-quy-i-nam-2026-1732086.html
IB2600097652-00,Gói thầu số 03 - Thi công xây dựng (bao gồm Chi phí xây dựng + chi phí di chuyển mốc pháo binh + đảm bảo giao thông + phí BVMT),vn5300310611,Ban Quản lý dự án đầu tư xây dựng khu vực Bắc Hà,21:37 25/03/2026,09:00 05/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-03-thi-cong-xay-dung-bao-gom-chi-phi-xay-dung-chi-phi-di-chuyen-moc-phao-binh-dam-bao-giao-thong-1732085.html
IB2600108291-01,"Mua sắm hoàn thiện hạ tầng, trang thiết bị công nghệ thông tin tại Ủy ban Mặt trận Tổ quốc Việt Nam phường",vn3502556043,Ủy ban MTTQ Việt Nam phường Vũng Tàu,21:17 25/03/2026,09:30 31/03/2026,https://dauthau.asia/thongbao/moithau/mua-sam-hoan-thien-ha-tang-trang-thiet-bi-cong-nghe-thong-tin-tai-uy-ban-mat-tran-to-quoc-viet-nam-phuong-1732084.html
IB2600116229-00,Thi công xây dựng,vn5600352147,Phòng Kinh tế xã Nà Hỳ tỉnh Điện Biên,21:15 25/03/2026,08:00 04/04/2026,https://dauthau.asia/thongbao/moithau/thi-cong-xay-dung-1732083.html
IB2600116197-00,Gói thầu: Bộ CG chạy chữ phát sóng tổng khống chế,vnz000017730,Ban truyền hình tiếng dân tộc,20:31 25/03/2026,20:30 03/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-bo-cg-chay-chu-phat-song-tong-khong-che-1732082.html
IB2600116212-00,Gói số 03: Thi công Sửa chữa lớn tài sản cố định là vật kiến trúc phân xưởng  Nguyên liệu - Hòa tách và Phân xưởng Cơ điện,vnz000008337,CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP THAN – KHOÁNG SẢN VIỆT NAM - CÔNG TY NHÔM ĐẮK NÔNG-TKV,20:28 25/03/2026,09:00 03/04/2026,https://dauthau.asia/thongbao/moithau/goi-so-03-thi-cong-sua-chua-lon-tai-san-co-dinh-la-vat-kien-truc-phan-xuong-nguyen-lieu-hoa-tach-va-phan-xuong-1732081.html
IB2600108661-00,"Gói thầu 8: Tư
vấn giám sát thi
công công trình",vn0100101114,TỔNG CÔNG TY ĐIỆN LỰC THÀNH PHỐ HÀ NỘI,20:19 25/03/2026,10:00 13/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-8-tu-van-giam-sat-thi-cong-cong-trinh-1732080.html
IB2600114296-00,"Hoàn thiện hạ tầng, trang thiết bị công nghệ thông tin phục vụ công tác chuyển đổi số của Đảng ủy phường Vũng Tàu",vn3502551768,Văn phòng Đảng uỷ Phường Vũng Tàu,20:11 25/03/2026,15:00 03/04/2026,https://dauthau.asia/thongbao/moithau/hoan-thien-ha-tang-trang-thiet-bi-cong-nghe-thong-tin-phuc-vu-cong-tac-chuyen-doi-so-cua-dang-uy-phuong-vung-1732079.html
IB2600115773-00,Gói thầu HH-06: “Phần mềm ảo hóa”,vn0100870374,Báo Quân đội nhân dân,19:27 25/03/2026,07:30 03/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-hh-06-phan-mem-ao-hoa-1732078.html
IB2600115763-00,Gói thầu HH-05: “Cung cấp trang thiết bị và dịch vụ”,vn0100870374,Báo Quân đội nhân dân,19:26 25/03/2026,07:30 03/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-hh-05-cung-cap-trang-thiet-bi-va-dich-vu-1732076.html
IB2600115758-00,"Gói thầu DV-04: “Bảo trì và tối ưu hóa phần mềm Tòa soạn điện tử, phần mềm MAM, chuyên trang audio/video; phần mềm website Quỹ vì biển, đảo Việt Nam”",vn0100870374,Báo Quân đội nhân dân,19:25 25/03/2026,07:30 03/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-dv-04-bao-tri-va-toi-uu-hoa-phan-mem-toa-soan-dien-tu-phan-mem-mam-chuyen-trang-audio-video-phan-mem-1732077.html
IB2600115754-00,"Gói thầu DV-03: “Bảo trì, tối ưu hóa phần mềm xuất bản Báo Điện tử”",vn0100870374,Báo Quân đội nhân dân,19:24 25/03/2026,07:30 03/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-dv-03-bao-tri-toi-uu-hoa-phan-mem-xuat-ban-bao-dien-tu-1732075.html
IB2600116190-00,"Thiết bị, vật tư báo cháy - báo khí (FGS) cho lắp đặt, kết nối PIG Launcher/Receiver Skid, Lô 09-1 (Gói thầu số VT-627/26-KT, email: khanhnq.hq@vietsov.com.vn; ext: 2809)",vn3500102414,Liên doanh Việt-Nga Vietsovpetro,19:14 25/03/2026,09:00 10/04/2026,https://dauthau.asia/thongbao/moithau/thiet-bi-vat-tu-bao-chay-bao-khi-fgs-cho-lap-dat-ket-noi-pig-launcher-receiver-skid-lo-09-1-goi-thau-so-vt-627-1732074.html
